Dish Name,Category,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Hot tea (Garam Chai),Veg,16.14,2.58,0.39,0.53
Instant coffee,Veg,23.16,3.65,0.64,0.75
Espreso coffee,Veg,51.54,6.62,1.75,2.14
Iced tea,Veg,10.34,2.7,0.03,0.01
Raw mango drink (Aam panna),Veg,35.92,9.05,0.16,0.03
Fruit Punch (with fresh juices),Veg,36.12,9.38,0.14,0.03
Fruit Punch (with squashes),Veg,23.13,5.99,0.07,0.02
Lemonade,Veg,20.8,5.48,0.03,0.01
Lem-o-gin,Veg,21.52,5.55,0.08,0.03
Cumin infused water (Jeere/Zeere ka pani),Veg,9.09,1.86,0.17,0.11
Coco pine cooler,Veg,32.75,5.72,0.56,1.0
Summer cooler,Veg,22.43,5.43,0.37,0.04
Hot cocoa,Veg,90.1,9.23,3.36,4.56
Cold coffee with ice cream,Veg,67.85,11.24,1.57,2.11
Banana milkshake (Kele milkshake),Veg,65.31,9.15,1.84,2.37
Mango milkshake (Aam milkshake),Veg,56.9,7.23,1.73,2.35
Pineapple milkshake (Ananas milkshake),Veg,55.72,7.62,1.66,2.23
Orange milkshake (Narangi milkshake),Veg,57.42,7.11,1.86,2.52
Egg nog,Egg,97.14,8.15,4.78,5.11
Sweet Lassi (Meethi lassi),Veg,35.66,6.51,1.29,0.68
Lassi (salted),Veg,18.84,1.86,1.35,0.72
Cheese and chilli sandwich,Veg,218.11,27.4,6.8,9.78
Egg sandwich (Ande ka sandwich),Egg,285.96,29.16,8.69,15.8
Cucumber sandwich (Kheere ka sandwich),Veg,188.6,25.77,4.8,8.0
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Veg,257.71,29.1,8.2,12.8
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Veg,243.32,26.92,7.92,12.27
Chicken sandwich,Non-Veg,253.27,25.38,13.12,11.75
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),Veg,291.43,28.54,9.53,16.14
Rainbow sandwich,Veg,272.75,34.26,7.75,12.54
Club sandwich,Non-Veg,235.32,18.51,7.31,15.12
Vegetarian club sandwich,Veg,198.33,19.68,5.45,11.33
Pin wheel sandwich,Non-Veg,311.52,14.0,8.77,24.93
Carrot apple sandwich (Gajar aur seb ka sandwich),Veg,214.11,29.04,5.3,9.12
Salami sandwich,Non-Veg,255.59,21.54,8.7,15.51
Vegetable and mayonnaise sandwich,Veg,244.26,23.2,4.47,15.4
Egg and tomato sandwich (Ande aur tamatar ka sandwich),Egg,222.11,25.9,7.66,10.51
Sweet open sandwich,Veg,244.25,39.24,4.99,8.15
Mushroom and cheese sandwich (toasted),Veg,227.42,21.01,7.79,13.01
Cheese and tomato sandwich (toasted),Veg,224.58,21.42,6.82,12.95
Pea potato sandwich (toasted),Veg,164.9,25.17,4.6,5.43
Paneer pea sandwich (toasted),Veg,249.56,24.05,12.4,11.98
Chicken sandwich (toasted),Non-Veg,167.37,18.82,12.08,5.32
Pea keema sandwich (toasted),Non-Veg,171.78,20.26,11.06,5.61
Classic club sandwich,Non-Veg,200.83,18.49,6.74,11.56
Sesame toast,Veg,495.19,11.15,1.9,49.38
Cracked wheat porridge (Meetha daliya),Veg,81.57,8.87,2.64,4.08
Semolina porridge (Suji/Rava daliya),Veg,100.89,12.39,3.75,4.08
Oatmeal Porridge,Veg,72.85,8.77,2.6,3.22
Cornflakes with milk,Veg,117.33,14.95,3.59,5.12
Rice flakes (Chiwda/Aval),Veg,112.44,15.57,3.62,3.99
Wheat flakes,Veg,112.44,15.57,3.62,3.99
Murmura (Puffed rice),Veg,113.32,15.67,3.62,4.04
Puffed wheat (Murmure/Moori),Veg,113.32,15.67,3.62,4.04
Boiled egg (Ubla anda),Egg,45.35,0.12,4.43,3.04
Fried Egg,Egg,223.67,0.31,11.59,19.62
Poached egg,Egg,123.87,0.37,11.98,8.19
Scrambled egg (Ande ki bhurji),Egg,155.97,1.35,10.29,12.21
Baked egg,Egg,218.85,15.42,11.88,12.65
Plain omelette/omlet,Egg,272.41,0.64,9.66,25.74
Stuffed egg omelette/omlet,Egg,203.51,2.3,8.6,17.77
Pancake,Veg,203.36,20.49,5.68,10.82
Keema pancake,Non-Veg,176.27,9.56,9.01,11.25
Vegetable pancake,Veg,125.18,12.24,3.87,6.57
Jam and fruit pancake,Veg,162.02,20.73,3.79,7.01
Khoa and coconut pancake,Veg,271.98,27.32,6.98,15.29
Brown stock,Veg,21.32,0.25,1.95,1.38
Vegetable stock,Veg,17.6,0.96,0.3,1.38
Chicken stock,Non-Veg,29.88,0.37,3.69,1.51
Clear tomato soup (Tamatar ka soup),Veg,80.07,3.45,4.79,12.22
Lentil soup,Veg,31.17,3.94,9.65,11.68
Chicken consomme (Clear chicken soup),Non-Veg,47.94,1.19,11.47,12.02
Cream of tomato soup,Veg,97.81,3.93,4.61,13.12
Cream of green peas soup,Veg,127.84,6.75,7.13,14.78
Cream of spinach soup,Veg,100.54,3.45,5.21,13.31
Cream of mixed vegetable soup,Veg,59.65,4.93,6.84,9.05
Cream of mushroom soup,Veg,117.28,3.74,6.64,15.5
Chicken sweet corn soup,Non-Veg,28.32,1.63,14.48,12.59
Minestrone soup,Veg,42.66,3.71,9.3,11.09
Egg drop soup,Egg,26.64,1.1,12.93,13.52
Chinese cabbage and meat ball soup,Non-Veg,484.31,1.43,5.21,56.57
French onion soup,Veg,55.61,4.28,11.41,14.39
Hot and sour soup,Veg,31.51,1.78,3.12,1.31
Talaumein soup,Veg,35.63,4.17,10.12,12.78
Cold cucumber soup (Thanda kheere ka soup),Veg,48.03,4.58,2.99,1.99
